企业名称,工作地点,岗位名称,岗位工资,平均工资,相关专业,学历要求,待遇
西安华线石油科技有限公司,西安市,销售人员（油田技术）,3K-8K/月,5500.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学，应,不限,绩效奖金 节日礼物 带薪年假 项目提成
西安贝多环保科技有限公司,西安市,技术整合员,4K-6K/月,5000.0,化学工程与工艺，化学工程与工业生物工程，化学，应用化学，材料化学，化学生物学，化学类,硕士及以上,绩效奖金 岗前培训 年度旅游 岗位晋升
杭州金膳祥生物科技有限公司,杭州市 金华市 温州市 台州市,储备干部,3K-6K/月,4500.0,管理科学，药学，食品科学与工程，生物工程,本科及以上,包吃包住 年底双薪 带薪年假 绩效奖金 岗前培训 节日礼物 交通补助 餐补 扁平管理 年度旅游
杭州金膳祥生物科技有限公司,温州市 杭州市 台州市 金华市,健康顾问,3K-8K/月,5500.0,药品经营与管理，市场营销，制药工程，生物工程，食品科学与工程,大专及以上,年底双薪 弹性工作 绩效奖金 岗前培训 带薪年假 包吃包住 节日礼物 扁平管理 餐补 年度旅游
振德医疗用品股份有限公司,绍兴市,研发类储干,4K-4.5K/月,4250.0,机械设计制造及其自动化，机械工程，材料科学与工程，材料类，生物工程,不限,岗前培训 节日礼物 餐补 房补 员工旅游 健康体检 带薪年假
绍兴兴欣化工有限公司,绍兴市,销售专员,6K-10K/月,8000.0,化学类，化学，化学生物学，化工与制药类，化学工程与工艺,本科及以上,
武汉塞力斯医疗科技股份有限公司,武汉市,研发助理,3K-3.5K/月,3250.0,卫生检验，医学检验技术，临床医学，生物科学，药学,本科及以上,年底双薪 岗前培训 年度旅游 岗位晋升 免费班车
武汉塞力斯医疗科技股份有限公司,武汉市,质量管理员,3K-4K/月,3500.0,卫生检验，生物科学，药学，临床医学，医学检验技术,大专及以上,年底双薪 年度旅游 岗位晋升 免费班车 员工旅游
武汉塞力斯医疗科技股份有限公司,武汉市,产品专员,3K-4.5K/月,3750.0,卫生检验，临床医学，医学检验技术，生物科学,本科及以上,年底双薪 年度旅游 岗位晋升 员工旅游 免费班车 节日礼物
康龙化成（北京）新药技术股份有限公司,北京市 宁波市,有机合成研究员,6K-9K/月,7500.0,化学，化学生物学，化学类，应用化学，地球化学,本科及以上,绩效奖金 岗前培训 节日礼物 岗位晋升 带薪年假 餐补 免费班车
武汉景川诊断技术股份有限公司,武汉市,项目研发负责人,4.5K-6K/月,5250.0,生物工程类，生物工程，生物制药，医学检验，医学检验技术,硕士及以上,绩效奖金 岗前培训 节日礼物 带薪年假 交通补助 餐补 房补 年度旅游
中国科学院亚热带农业生态研究所,长沙市,第三研究中心科研岗位（1）,7K-20K/月,13500.0,化学生物学，生态学，农学,博士及以上,年底双薪 绩效奖金 岗位晋升 带薪年假 餐补 房补 免费班车 健康体检
武汉景川诊断技术股份有限公司,武汉市,研发试项目助理,4K-6K/月,5000.0,生物工程类，生物工程，医学检验，制药工程,本科及以上,绩效奖金 岗位晋升 房补 餐补 交通补助 带薪年假 岗前培训 节日礼物 年度旅游 健康体检
上海佳明航电企业管理有限公司,上海市,技术支持,7K-10K/月,8500.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 员工旅游 餐补 带薪年假 健康体检
湖北东盛特种涂料科技有限公司,武汉市,销售专员,4K-600K/月,302000.0,市场营销，化学工程与工艺，化学工程与工业生物工程,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 弹性工作 带薪年假 交通补助
湖北东盛特种涂料科技有限公司,武汉市,技术支持工程师,3K-4K/月,3500.0,材料化学，化工与制药类，化学工程与工艺，化学工程与工业生物工程,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 弹性工作 带薪年假 交通补助
苏州金唯智生物科技有限公司,昆明市 北京市 上海市 广州市 福州市 厦门市 青岛市 哈尔滨市 长春市 西安市 合肥市,高级销售工程师,3.5K-10K/月,6750.0,生物技术，生物工程，生物科学，生物科学类，农学,不限,绩效奖金 岗前培训 岗位晋升 交通补助 带薪年假 餐补 员工旅游 健康体检
厦门安捷致善医学数据科技有限公司,"厦门市,上海市",高级生物信息分析工程师,8K-10K/月,9000.0,生物信息学,硕士及以上,
厦门安捷致善医学数据科技有限公司,厦门市,生信分析工程师,6K-8K/月,7000.0,生物信息学,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 员工旅游 带薪年假 餐补
厦门安捷致善医学数据科技有限公司,全国,销售管培,5K-6K/月,5500.0,"生物科学，生物技术，生物学,分子生物学,微生物等生物相关专业",本科及以上,年度多次调薪，五险一金，年度分工，弹性工作，高额提成，更多职业发展机会
厦门安捷致善医学数据科技有限公司,厦门市,高级实验工程师,5K-7K/月,6000.0,生物科学类，生物技术，生物科学，生物信息学，生态学,硕士及以上,
湖南省科域生物医药科技有限公司,长沙市,生物实验员,5K-7K/月,6000.0,生物技术，生物科学,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 带薪年假 弹性工作 餐补 房补
东莞波顿香料有限公司,东莞市,初高级助理工程师,5K-15K/月,10000.0,应用化学，化学生物学，化学，药物制剂，药学,本科及以上,年底双薪 弹性工作 房补 餐补 免费班车 年度旅游 节日礼物 岗前培训
湖南省科域生物医药科技有限公司,长沙市,实验设计,5K-10K/月,7500.0,临床医学，医学检验技术，生物技术，生物科学,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 带薪年假 餐补 房补 弹性工作
东莞波顿香料有限公司,东莞市,助理工程师,5K-15K/月,10000.0,化学生物学，应用化学，化学，药学类，药物制剂,本科及以上,年底双薪 岗前培训 节日礼物 年度旅游 免费班车 房补 餐补 弹性工作 包吃包住 岗位晋升
上海康成生物工程有限公司,上海市,技术支持（上海）,8K-10K/月,9000.0,农学，植物生产类，基础医学类，生物科学类，生物信息学，生物科学，生物技术,硕士及以上,
重庆药友制药有限责任公司,重庆市,工艺技术员,5.5K-8K/月,6750.0,化学类，生物科学类，药学类,本科及以上,绩效奖金 岗前培训 节日礼物 岗位晋升  交通补助 餐补 房补 包吃包住 健康体检
东莞波顿香料有限公司,东莞市,工程师,5K-15K/月,10000.0,化学生物学，应用化学，生物科学类，药物制剂，药学,本科及以上,免费班车 包吃包住 五险一金 周末双休 高温补贴 社团活动  岗前培训 年底双薪 弹性工作 餐补
厦门翔邦高分子科技有限公司,厦门市,材料工程师,3.5K-4.5K/月,4000.0,化学生物学，化学，应用化学,大专及以上,节日礼物 岗前培训 绩效奖金 带薪年假 交通补助 餐补 房补 员工旅游 岗位晋升
上海佳明航电企业管理有限公司,上海市,商务拓展,7K-9K/月,8000.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学,本科及以上,年底双薪 绩效奖金 节日礼物 年度旅游 员工旅游 餐补 交通补助 带薪年假
上海森松制药设备工程有限公司,上海市,电仪调试工程师,5K-8K/月,6500.0,机械设计制造及其自动化，过程装备与控制工程，测控技术与仪器，土木工程，生物工程类,本科及以上,
上海森松制药设备工程有限公司,上海市,设计工程师,5K-8K/月,6500.0,机械设计制造及其自动化，自动化类，化学工程与工艺，制药工程，生物工程,本科及以上,绩效奖金  节日礼物  岗位晋升  员工旅游
深圳市卓越文化发展有限公司,深圳市,生地老师,5K-8K/月,6500.0,生物科学,本科及以上,
湖南和畅食品科技有限公司,湘潭市,工艺员,3.5K-5.6K/月,4550.0,化学工程与工艺，化学工程与工业生物工程，化学类，应用化学，化学,大专及以上,年底双薪 绩效奖金 节日礼物 年度旅游 岗位晋升 交通补助 包吃包住 健康体检
上海宸乔生物科技有限公司,上海市,渠道销售代表,5K-6K/月,5500.0,应用化学，生物技术，食品科学与工程，食品质量与安全，药学类,本科及以上,年底双薪 绩效奖金 岗前培训 年度旅游 弹性工作 岗位晋升 股票期权
深圳市合川科技有限公司,深圳市,QC(合川医疗）,3.5K-6K/月,4750.0,环境工程，生物制药，化工与制药类，制药工程,大专及以上,岗前培训 绩效奖金 带薪年假 健康体检 岗位晋升
深圳市合川科技有限公司,深圳市,实验员（合川医疗）,4K-6K/月,5000.0,食品卫生与营养学，药物化学，仪器类，化学工程与工艺，化学工程与工业生物工程，制药工程，生物医学工程类，生物医学工程，食品科学与工程类，食品科学与工程，生物工程类，生物制药,大专及以上,绩效奖金 岗前培训 岗位晋升 带薪年假 健康体检
湖北三宁化工股份有限公司,武汉市,精细磷化工研发工程师,6K-7K/月,6500.0,化工与制药类，化学工程与工艺，化学工程与工业生物工程，能源化学工程，材料化学,硕士及以上,绩效奖金  岗前培训  节日礼物  岗位晋升  餐补  房补  免费班车  员工旅游  包吃包住
福格森（武汉）生物科技股份有限公司,武汉市,质量分析检测/QC,3K-5K/月,4000.0,制药工程，生物制药,本科及以上,绩效奖金 年底双薪 岗前培训 节日礼物 年度旅游  优质免费员工餐 健康体检 带薪年假 免费通勤车
湖南加农正和生物技术有限公司,长沙市,产品研发类,5K-10K/月,7500.0,动物科学，动物医学类，动物医学，动物药学，药物制剂，应用生物科学,本科及以上,岗前培训 岗位晋升 弹性工作 带薪年假 员工旅游 包吃包住
杭州悦萱堂化妆品有限公司,杭州市,研发类,5K-8K/月,6500.0,食品卫生与营养学，中医学类，中药学类，化学类，生物科学类,本科及以上,包吃包住 年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 带薪年假 健康体检
神州数码医疗科技股份有限公司,北京市,基础医学人工智能研究员,10K-16K/月,13000.0,智能科学与技术，生物医学工程类，生物医学工程,硕士及以上,绩效奖金 岗前培训 带薪年假 交通补助 餐补 岗位晋升 健康体检
湖北出天蓝环保设备工程有限公司,武汉市,制冷工程师,3K-6K/月,4500.0,化学工程与工艺，化学工程与工业生物工程,本科及以上,绩效奖金 餐补 健康体检 包吃包住
神州数码医疗科技股份有限公司,北京市,医学影像人工智能研究员,8K-15K/月,11500.0,生物医学工程类，生物医学工程,本科及以上,绩效奖金 岗前培训 带薪年假 交通补助 餐补 岗位晋升 健康体检
湖北美天生物科技股份有限公司,黄冈市,QA（武穴市）,4K-8K/月,6000.0,应用化学，化学类，制药工程，生物制药，化工与制药类,大专及以上,QA质量管理
神州数码医疗科技股份有限公司,北京市,生物信息分析员,8K-15K/月,11500.0,电子与计算机工程，生物医学工程类，生物医学工程，生物工程类,本科及以上,绩效奖金 带薪年假 交通补助 餐补 岗位晋升 健康体检
湖北美天生物科技股份有限公司,武汉市,有机合成研发人员,4K-8K/月,6000.0,化学类，应用化学，化学，化学生物学，制药工程,本科及以上,实验室研发岗位 年度旅游 节日礼物 员工旅游
连云港宏业化工有限公司,连云港市,研发工程师,3.5K-5K/月,4250.0,化工与制药类，化学工程与工艺，制药工程，化学工程与工业生物工程，环境工程,本科及以上,绩效奖金 岗前培训 节日礼物 岗位晋升 带薪年假 交通补助 免费班车 员工旅游 包吃包住 健康体检
厦门海乐景生化有限公司,厦门市,有机合成工艺研究员,3K-7K/月,5000.0,化工与制药类，生物制药，制药工程，中药制药,本科及以上,绩效奖金 节日礼物 岗位晋升 弹性工作 餐补 房补 健康体检 年底双薪
上海科胜药物研发有限公司,上海市,有机合成研究员,4K-8K/月,6000.0,化学，化学生物学，应用化学，化学类，分子科学与工程,不限,绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 带薪年假 交通补助 餐补 员工旅游 健康体检
郑州市德源精细化学品有限公司,郑州市,售后技术服务,5K-9K/月,7000.0,冶金工程，化学工程与工艺，化学工程与工业生物工程，材料化学,本科及以上,
宜昌东阳光药业股份有限公司,宜昌市,技术研发,5K-7K/月,6000.0,化学，化学生物学,硕士及以上,健康体检 岗前培训 绩效奖金
宜昌东阳光药业股份有限公司,宜昌市,技术员,3K-5K/月,4000.0,化学工程与工艺，生物工程，生物制药，制药工程，化学工程与工业生物工程,本科及以上,绩效奖金 岗位晋升 带薪年假 房补 健康体检 岗前培训 交通补助
武汉中有药业有限公司,鄂州市,QC,3.5K-5K/月,4250.0,药学类，化学类，生物制药,本科及以上,绩效奖金 岗前培训 扁平管理 岗位晋升 免费班车 包吃包住 健康体检
仙桃市中星电子材料有限公司,仙桃市,安监员,3K-3.5K/月,3250.0,工业设计，材料类，材料物理，化学工程与工艺，化学工程与工业生物工程，安全科学与工程类，化工与制药类,大专及以上,1、公司提供食宿，按照星级酒店标准提供人才公寓，拎包入住。
仙桃市中星电子材料有限公司,仙桃市,品质检测员,3K-3.5K/月,3250.0,材料类，材料化学，功能材料，化学工程与工艺，化学工程与工业生物工程,大专及以上,享有薪酬以外的工龄、党员、职称补贴。
宜昌东阳光长江药业股份有限公司,宜昌市,车间工艺员,3.1K-4.5K/月,3800.0,化学类，生物制药，化工与制药类，制药工程，化学工程与工艺,本科及以上,年底双薪   岗前培训   岗位晋升   带薪年假   交通补助   员工旅游  健康体检
宜昌东阳光长江药业股份有限公司,宜昌市,技术员,3.1K-4.5K/月,3800.0,化学类，化学生物学，药学类，生物工程类,本科及以上,年底双薪   岗前培训   岗位晋升   交通补助   带薪年假   员工旅游   健康体检
宜昌东阳光长江药业股份有限公司,宜昌市,QA及QC,3.1K-4.5K/月,3800.0,药物分析，药学类，化学类，化学生物学，生物科学,本科及以上,岗前培训   交通补助   带薪年假   健康体检   员工旅游 岗位晋升 年底双薪
宜昌三峡制药有限公司,宜昌市,药研所研究员,3K-4K/月,3500.0,制药工程，化工与制药类，化学工程与工业生物工程，化学工程与工艺,本科及以上,节日礼物 岗位晋升 带薪年假 交通补助 餐补 房补 健康体检
武汉天衣集团有限公司,武汉市,混凝土技术工程师,3K-5K/月,4000.0,分子科学与工程，化学生物学，应用化学,本科及以上,餐补 交通补助 带薪年假 绩效奖金 年底双薪
武汉联合药业有限责任公司,武汉市 全国,销售经理,20K-40K/月,30000.0,市场营销，生物制药，临床药学，药学类，中药学类,大专及以上,年底双薪 绩效奖金 年度旅游 免费班车 员工旅游 交通补助 带薪年假 岗前培训 岗位晋升 健康体检
广州集泰化工股份有限公司,广州市,技术工程师,4K-5K/月,4500.0,材料化学，材料科学与工程，化学工程与工艺，化学工程与工业生物工程,本科及以上,健康体检 免费班车 员工旅游 岗位晋升 岗前培训
广州集泰化工股份有限公司,广州市,研发工程师,8K-9K/月,8500.0,高分子材料与工程，材料化学，材料科学与工程，化学工程与工艺，化学工程与工业生物工程,硕士及以上,健康体检 员工旅游 岗位晋升 免费班车 岗前培训 通讯补贴
广州集泰化工股份有限公司,广州市,储备干部,4K-5K/月,4500.0,材料类，高分子材料与工程，复合材料与工程，化学工程与工艺，化学工程与工业生物工程,本科及以上,岗前培训 员工旅游 免费班车 健康体检 通讯补贴
浙江创世纪环保科技有限公司,杭州市,实验室检测人员,2.5K-5K/月,3750.0,化学生物学，化学，应用化学，环境工程，环境科学与工程类,大专及以上,岗前培训 年度旅游 岗位晋升 带薪年假 餐补 包吃包住
潜江方圆钛白有限公司,潜江市,研发技术员,3K-6K/月,4500.0,材料科学与工程，高分子材料与工程，化学工程与工艺，化工与制药类，化学工程与工业生物工程,本科及以上,年底双薪 绩效奖金 岗前培训 年度旅游 岗位晋升 带薪年假 员工旅游 包吃包住 健康体检
深圳市卓越文化发展有限公司,深圳市,高级科目教师,5K-15K/月,10000.0,教育学类，数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，,本科及以上,岗前培训  岗位晋升 弹性工作 包住 员工旅游 节日礼物
湖北葛店人福药用辅料有限责任公司,全国,销售员,5K-10K/月,7500.0,化学工程与工业生物工程，化工与制药类，制药工程，市场营销,大专及以上,绩效奖金 节日礼物 年度旅游 免费班车 包吃包住
维亚生物科技（上海）有限公司,上海市,蛋白纯化研究员,5K-8K/月,6500.0,生物技术，生物科学,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 餐补 交通补助 员工旅游 岗位晋升 带薪年假
武汉生物制品研究所有限责任公司,武汉市,销售助理,4K-6K/月,5000.0,药学类，药物制剂，市场营销，工商管理，生物科学类，生物技术,本科及以上,健康体检 绩效奖金 岗前培训 岗位晋升 免费班车 免费中餐 单身公寓
嘉宝莉化工集团股份有限公司,江门市,技术研发类硕士,6K-8K/月,7000.0,化学类，化学，应用化学，化学生物学，化学工程与工艺,硕士及以上,弹性工作 包吃包住 带薪年假 节日礼物 岗前培训  免费班车 员工旅游
嘉宝莉化工集团股份有限公司,江门市,技术研发人员,4K-6K/月,5000.0,化学类，化学，应用化学，化学生物学，地球化学，材料类，材料科学与工程，材料化学，化学工程与工艺，能源化学工程，化学工程与工业生物工程，药物化学,本科及以上,绩效奖金 岗前培训 节日礼物 免费班车 餐补 交通补助 带薪年假 包吃包住 健康体检 岗位晋升
嘉宝莉化工集团股份有限公司,江门市,技术研发（硕士）,6K-8K/月,7000.0,化学类，化学，应用化学，化学生物学，材料类，材料科学与工程，材料化学，化工与制药类，化学工程与工艺，能源化学工程，化学工程与工业生物工程,硕士及以上,绩效奖金 岗前培训 节日礼物  岗位晋升 免费班车 餐补 交通补助 带薪年假 包吃包住 健康体检
浙江精进药业有限公司,台州市,生产储备干部,3K-4K/月,3500.0,应用化学，化学工程与工艺，化学工程与工业生物工程，化工与制药类，制药工程,本科及以上,公司福利：五险一金、标间宿舍、福利性食堂及餐补、公费带薪旅游、公费培训、生日礼金、节日福利和年终奖等
浙江精进药业有限公司,台州市,质管员QA,3K-4K/月,3500.0,应用化学，化学工程与工艺，化学工程与工业生物工程，化工与制药类，制药工程,本科及以上,公司福利：五险一金、标间宿舍、福利性食堂及餐补、公费带薪旅游、公费培训、生日礼金、节日福利和年终奖等
浙江精进药业有限公司,台州市,质检员QC,3K-4K/月,3500.0,化学工程与工艺，化学工程与工业生物工程，应用化学，化工与制药类，制药工程,本科及以上,公司福利：五险一金、标间宿舍、福利性食堂及餐补、公费带薪旅游、公费培训、生日礼金、节日福利和年终奖等
浙江精进药业有限公司,台州市,药物研发员,3K-5K/月,4000.0,化工与制药类，制药工程，化学工程与工艺，化学工程与工业生物工程，资源循环科学与工程,本科及以上,五险一金、标间宿舍、福利性食堂及餐补、公费带薪旅游、公费培训、生日礼金、节日福利和年终奖等等
广州市博仕奥生化技术研究有限公司,广州市 昆明市,研发人员,4K-8K/月,6000.0,食品科学与工程，生物化学与分子生物学,硕士及以上,年底双薪 绩效奖金 节日礼物 带薪年假 餐补
广州市博仕奥生化技术研究有限公司,昆明市 广州市,质检员,3K-5K/月,4000.0,食品科学与工程，生物化学与分子生物学,本科及以上,绩效奖金 岗前培训 节日礼物 带薪年假 餐补 包吃包住
广州市博仕奥生化技术研究有限公司,广州市,储备干部,3K-4.5K/月,3750.0,动物科学，化学生物学，应用生物科学，食品科学与工程，生物化学与分子生物学,大专及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 带薪年假 餐补 员工旅游
广州市博仕奥生化技术研究有限公司,广州市 昆明市,化验员,3K-6K/月,4500.0,食品科学与工程，生物化学与分子生物学,不限,包吃包住 岗位晋升 节日礼物 绩效奖金 带薪年假
浙江新安化工集团股份有限公司,杭州市,产品研发类,4K-8K/月,6000.0,化学类，化学生物学，化学，农学,本科及以上,节日礼物 岗位晋升 股票期权 带薪年假 餐补 免费班车 健康体检
江西禾益化工股份有限公司,九江市,实验员化验员,3K-5K/月,4000.0,化学工程与工艺，化学类，应用化学，化学，化学生物学,本科及以上,
上海安宇化工新材料有限公司,上海市,销售代表,6K-8K/月,7000.0,化学，化学生物学，化学类，应用化学，分子科学与工程，信息与计算科学，工程力学，机械工程，材料成型及控制工程，工业设计，机械电子工程，过程装备与控制工程，汽车服务工程，机械设计制造及其自动化，机械类，理论与应用力学,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 扁平管理 年度旅游 岗位晋升 带薪年假 员工旅游
上海友尹化工装备有限公司,上海市 武汉市,化工艺设计师,4K-8K/月,6000.0,化工与制药类，标准化工程，生物医学工程，医学检验技术，医学技术类,本科及以上,
武汉巴菲尔生物技术服务有限公司,武汉市,技术支持,4K-6K/月,5000.0,生物技术，生物科学类，生物科学，生物信息学,本科及以上,
武汉巴菲尔生物技术服务有限公司,武汉市,实验动物模型制备实验员,3K-6K/月,4500.0,生物科学类，生物技术，生物信息学，生物科学,本科及以上,
武汉伊莱瑞特生物科技有限公司,武汉市,竞价专员,3K-5K/月,4000.0,生物信息学，生物科学，生物技术，生物科学类,大专及以上,
武汉普诺赛生命科技有限公司,武汉市,QC质检员,3K-5K/月,4000.0,生物信息学，生物技术，生物科学类,大专及以上,
武汉普诺赛生命科技有限公司,武汉市,竞价专员,3K-5K/月,4000.0,生物信息学，生物技术,大专及以上,
晶科能源有限公司,上饶市 嘉兴市 伊犁哈萨克自治州,品质管培生,4K-8K/月,6000.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学，应,本科及以上,年底双薪 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 带薪年假 餐补 免费班车 员工旅游
安琪酵母股份有限公司,宜昌市,研发工程师,4.5K-5.5K/月,5000.0,生物技术，生物工程类，生物科学,硕士及以上,
佛山市国星光电股份有限公司,佛山市,生产/质量/工艺管理工程师,4K-6K/月,5000.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学，应,本科及以上,节日礼物  岗位晋升 员工旅游
导洁（北京）环境科技有限公司广州分公司,海口市 厦门市 广州市,实验员,4.5K-6K/月,5250.0,化学工程与工艺，化学工程与工业生物工程，生物工程,本科及以上,周末双休   五险   员工生日
导洁（北京）环境科技有限公司广州分公司,全国 广州市 厦门市 北京市 武汉市 海口市,管培生,8K-12K/月,10000.0,化学工程与工艺，化学工程与工业生物工程，环境科学与工程类，环境科学与工程，环境工程，环境科学，环境生态工程，环保设备工程，水质科学与技术，生物工程，市场营销,硕士及以上,周末双休   五险   员工生日 岗位晋升
武汉巨人大学城教育培训有限责任公司,武汉市,化学教师（初高）,10K-15K/月,12500.0,生物技术，制药工程，化学工程与工艺，无机非金属材料工程，高分子材料与工程,本科及以上,
武汉巨人大学城教育培训有限责任公司,武汉市,数学教师（幼小初高）,10K-15K/月,12500.0,信息与计算科学，生物技术，电子商务,本科及以上,
杭州安诺过滤器材有限公司,杭州市,技术支持工程师,6K-8K/月,7000.0,化学，应用化学，生物技术，高分子材料与工程，化学工程与工艺,硕士及以上,
西安华线石油科技有限公司,西安市,模拟开发人员/数值模拟人员,4K-8K/月,6000.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学,本科及以上,绩效奖金 节日礼物 带薪年假等福利
西安华线石油科技有限公司,西安市,软件开发人员/dephi程序员,4K-8K/月,6000.0,数学类，数学与应用数学，信息与计算科学，数理基础科学，物理学类，物理学，应用物理学，核物理，声学，化学类，化学，应用化学，化学生物学，分子科学与工程，天文学类，天文学，地理科学类，地理科学，自然地理与资源环境，人文地理与城乡规划，地理信息科学，大气科学类，大气科学，应用气象学，海洋科学类，海洋科学，海洋技术，海洋资源与环境，军事海洋学，地球物理学类，地球物理学，空间科学与技术，地质学类，地质学，地球化学，地球信息科学与技术，古生物学，生物科学类，生物科学，生物技术，生物信息学，生态学，心理学类，心理学,本科及以上,年底双薪 绩效奖金 节日礼物 岗位晋升 带薪年假等福利
深圳沃德海斯生物科技股份有限公司,深圳市,医疗器械业务代表,5K-15K/月,10000.0,医学检验技术，市场营销，制药工程，药学，生物工程,大专及以上,
浙江天成工程设计有限公司,杭州市,工艺及管道设计工程师,5K-7K/月,6000.0,化工与制药类，化学工程与工艺，制药工程，化学工程与工业生物工程,本科及以上,绩效奖金 岗前培训 扁平管理 岗位晋升 带薪年假 交通补助 餐补 房补 员工旅游
上海宸乔生物科技有限公司,上海市,销售工程师,5K-6K/月,5500.0,制药工程，化学，药学，生物科学,本科及以上,
广州市皓博仪器仪表有限公司,广州市,销售助理,4K-6K/月,5000.0,化学工程与工艺，生物医学工程，生物工程类，生物工程，生物制药,大专及以上,
广州市皓博仪器仪表有限公司,广州市,产品专员,4K-6K/月,5000.0,应用生物科学，应用化学，化学生物学，生物技术，生物科学,大专及以上,带薪年假 岗前培训 员工旅游
浙江天成工程设计有限公司,杭州市,化工工程师,5K-7K/月,6000.0,化工与制药类，化学工程与工艺，制药工程，化学工程与工业生物工程,本科及以上,绩效奖金 岗前培训 年度旅游 员工旅游 房补 餐补 交通补助 带薪年假
导洁（北京）环境科技有限公司广州分公司,全国 广州市 厦门市 北京市 海口市,技术人员,6K-8K/月,7000.0,化工与制药类，化学工程与工艺，化学工程与工业生物工程，环境科学与工程类，环境科学与工程，环境工程，环境科学，生物工程类，生物工程,本科及以上,周末双休   五险   员工生日
