企业名称,工作地点,岗位名称,岗位工资,平均工资,相关专业,学历要求,待遇
湖北恒安芙林药业股份有限公司,北京市 上海市 天津市 重庆市 石家庄市 沈阳市 长春市 郑州市 南京市 杭州市 合肥市 济南市 长沙市 广州市 成都市 哈尔滨市,销售助理,面议,0.0,生物工程类，生物制药，化学工程与工业生物工程，口腔医学，口腔医学类，中医学类，药学类，药物制剂，药物分析，药事管理，药物化学，中药学类，中药资源与开发,本科及以上,
武汉天龙黄鹤楼酒业有限公司,武汉市,生产技术类,3K-4.2K/月,3600.0,生物科学，生物技术，食品科学与工程类，食品科学与工程，物流管理与工程类，物流工程，物流管理，机械设计制造及其自动化，环境工程，环境科学，环境科学与工程,本科及以上,
湖北葛店人福药用辅料有限责任公司,武汉市 鄂州市,工艺研究员,面议,0.0,化学工程与工业生物工程，化学工程与工艺，药物分析，药物化学,博士及以上,
湖北葛店人福药用辅料有限责任公司,武汉市 鄂州市,市场推广专员,面议,0.0,市场营销，药学类，制药工程，化学工程与工艺，化学工程与工业生物工程，药物分析，药物化学,本科及以上,
湖北葛店人福药用辅料有限责任公司,武汉市 鄂州市,地区经理,面议,0.0,药学类，药物制剂，药物化学，药物分析，市场营销，生物工程类,大专及以上,
南京圣和药业股份有限公司,全国,学术营销专员,5K-5K/月,5000.0,医学、药学、生物、化学相关专业,本科及以上,提供住宿，薪酬优，有市场
上海宝龙药业有限公司,上海,市场/产品专员,3000-5000,4000.0,药学   医学    生物工程     市场营销,本科及以上,提供住宿    工作餐   班车    五险一金   年终奖
广东厚德水准生物科技有限公司,佛山,噬菌体展示研发工程师,5K-7K/月,6000.0,生物类专业,本科及以上,五险一金，餐补，单独宿舍，年终奖+项目奖。
广东厚德水准生物科技有限公司,佛山,实验室技术员,根据专业和工作经历确定。,0.0,生物类专业,本科及以上,五险一金，餐补，单独宿舍，年终奖+项目奖。
广东厚德水准生物科技有限公司,佛山,酵母展示研发工程师,5K-8K/月,6500.0,生物类专业,本科及以上,五险一金，餐补，单独宿舍，年终奖+项目奖。
阳江喜之郎果冻制造有限公司,广东省阳江市阳东区中心位置,品质管理储备人员,5K-5.5K/月,5250.0,食品质量与安全/食品科学与工程/生物工程/生物技术/生物科学/微生物/粮食工程，食品质量与安全，食品科学与工程类，食品科学与工程，生物工程,大专及以上,提供食宿、年终奖、五险一金、弹性工作时间、完善培训体系、探亲路费补贴
阳江喜之郎果冻制造有限公司,广东阳江市阳东区中心位置,生产管理储备人员,5K-5.5K/月,5250.0,食品科学与工程/食品质量与安全/粮食工程/工业工程/机械类/包装工程/生物工程/生物技术/生物科学/高分子材料与工程/材料学，生物科学，生物技术,大专及以上,提供食宿、年终奖、五险一金、带薪年假、探亲路费、完善的培训体系、授权大。
湖南百思检验检测有限公司,湖南省岳阳,特种设备检验检测人员（检测技术员）,2K-6K/月,4000.0,数学类，数学与应用数学，信息与计算科学，物理学，应用物理学，核物理，化学类，应用化学，化学生物学，分子科学与工程，机械类，材料成型及控制工程，测控技术与仪器，材料类，材料科学与工程,本科及以上,绩效奖金 岗前培训 带薪年假 员工旅游
上海科胜药物研发有限公司,上海,生物研究员,4000-5000,4500.0,生物、发酵、酶催化、分子生物学相关专业,本科及以上,生物制药领域
中山市思而优教育科技有限公司,中山市,中学生物教师,4K-8K/月,6000.0,生物技术，，古生物学,本科及以上,包住 五险 带薪培训 带薪年假 绩效奖金 岗前培训 节日礼物 年度旅游 岗位晋升 员工旅游 房补
江苏豪森药业集团有限公司,全国,医药代表,5K-8K/月,6500.0,化学类，生物工程类，药学类，中医学类，中药学类，医学技术类，工商管理类，公共管理类，护理学类，中西医结合类，法医学类，化工与制药类，食品科学与工程类，生物医学工程类，临床医学类，基础医学类,大专及以上,每月七天固定假期，报销差旅费。提供油补或市内交通补贴，转正后报销话费。缴纳七险一金。广阔的发展空间。
岳阳市旭梦教育科技有限责任公司,岳阳市,初高中生物老师,3000-5000,4000.0,生物相关专业,本科及以上,晋升快，薪资待遇好
长沙珍奥企业管理咨询有限公司,长沙、郴州、衡阳、常德等，工作地点自选,见习店长（销售店长）,4000-8000元,6000.0,市场营销，生物工程，医学药学等，专业不限,,超长带薪年假  包住宿  高提成  单身多
浙江康瑞祥生物医药科技集团有限公司,金华市 湖州市 嘉兴市 台州市 温州市 杭州市,健康讲师,3K-5K/月,4000.0,汉语言文学，生物工程，临床医学，医学检验技术，药学,本科及以上,免费提供住宿；出差机票、酒店、餐费全额报销；弹性工作和休息机制；五险；生日、节日等其他福利；带薪培训
宁波江东博达教育培训学校,浙江省宁波市,高中生物老师,保底7万,0.0,生物工程、生物学或理工科相关专业,本科及以上,五险 带薪年假
宁波江东博达教育培训学校,浙江省宁波市,初中科学教师,保底6万,0.0,物理、化学、生物等理工科相关专业,本科及以上,五险  带薪年假
